Код,Наименование,Цена,Цена со скидкой,Сроки выполнения
10-201,"Хламидии.Антитела IgG к C. trachomatis, ИФА","2,6",1820,1
10-217,"Хламидиоз. Антитела IgM к Chlamidia trachomatis, ИФА","2,6",1820,1
10-051 пакет,"Хламидии. Антитела (IgA+IgG) к Chlamidia trachomatis, ИФА","4,3",3870,1
10-145,Хламидии. Aнтитела IgG к хламидии пневмони,"3,2",2240,1
10-238,"Хламидии. Антитела IgM к C. pneumoniae, ИФА","3,2",2240,1
,ПРОЧИЕ ИНФЕКЦИИ,,,
10-358,Аденовирус (Adenovirus). ПЦР,"4,9",4165,7-9
10-354,Коклюш. Антитела IgM Bordetella pertussis,"11,55",9820,12-14
10-355,Коклюш. Антитела IgG Bordetella pertussis,"11,55",9820,14-16
10-085,"Аспергиллы. Антитела IgG к Aspergillus fumigatus, ИФА","3,85",2695,1-3
10-362,Вирусы гриппа А/В (Influenza virus A/B). ПЦР,"4,7",3995,5-7
03-016,Качественное определение антигена Ротавируса и Аденовируса (Rotavirus + Adenovirus) в кале,"12,05",8435,1-3
10-247,Интерфероновый тест на туберкулез (TB-Gold test). Диагностика туберкулеза,"27,6",19320,4-6
10-360,"Коклюш и паракоклюш (anti‑Bordetella pertussis, anti‑Bordetella parapertussis)","4,3",3655,8-10
10-361,Коклюш. Bordetella pertussis. ПЦР,"3,1",2635,6-8
10-359,"Легионеллез (Legionella pneumophila), ПЦР","5,55",4720,8-10
03-015,Ротавирус. Качественное определение антигена Rotavirus Group A в кале.,"6,75",4725,1-3
10-308,"Обнаружение парвовируса в крови, ПЦР","6,65",5655,14-16
10-257,Кал. Определение остаточной осмолярности кала,"9,7",8245,13-15
10-512,"Скрининг на ОКИ (Shigella spp., E.coli, Salmonella spp., Campilobacter spp., Adenovirus F, Rotavirus A, Norovirus 2 генотип, Astrovirus), ПЦР","14,2",12070,7-8
10-157,"Диагностика кори, паротита и краснухи, ИФА","21,2",18020,13-15
10-140,Столбняк. Антитела к возбудителю столбняка (Clostridium tetani),"5,35",4550,8-10
10-141,Столбняк. Определение токсинов A и B Clostridium difficile,"13,35",11350,8-10
10-363,"Стрептококк группы А (Streptococcus pyogenes). ПЦР, кровь","4,3",3655,7-9
10-364,"Стрептококк группы А (Streptococcus pyogenes). ПЦР, соскоб","4,3",3655,7-9
10-365,"Стрептококк группы А (Streptococcus pyogenes). ПЦР, мокрота","4,3",3655,7-9
10-366,"Стрептококк группы А (Streptococcus pneumoniae). ПЦР, кровь","4,3",3655,7-9
10-367,"Стрептококк группы А (Streptococcus pneumoniae). ПЦР, соскоб","4,3",3655,7-9
10-368,"Стрептококк группы А (Streptococcus pneumoniae). ПЦР, мокрота","4,3",3655,7-9
10-369,"Стрептококк группы В (Streptococcus agalactiae). ПЦР, соскоб","6,85",5825,6-8
10-353,Туберкулез. Определение суммарных антител к Mycobacterium tuberculosis,"4,3",3655,12-14
10-158,"Шигеллез. Антитела к возбудителям дизентерии S. sonnei, S.flexneri в крови",4,3400,8-10
10-083,"Шигеллез и энтероинвазивные штаммы E.coli (кал, ПЦР)","6,9",5865,7-9
10-152,"Хеликобактер H. pylori (кал), ПЦР","6,75",4725,2-4
10-153,Хеликобактер H. pylori (цитологическое исследование гастробиоптата),4,2800,3-5
10-213,"Хеликобактер. Антитела IgA к H.pylori, ИФА","2,6",1820,1-3
10-214,"Хеликобактер. Антитела IgG к H.pylori, ИФА","2,6",1820,1-2
08-360,Хеликобактер. Антитела IgМ к H.pylori,"9,6",8160,8-9
10-073 пакет,Хеликобактер. Антитела (IgA+IgG) к H.pilori,"4,3",3870,1-2
05-044,Хеликобактер. Качественное определение антигена Н.pylori в кале,"8,45",5915,2-3
09-410,Хеликобактер(Helicobacter pylori). Уреазный дыхательный тест-14С,"10,55",7385,1-3
10-310,"Энтеровирус. Обнаружение в кале, ПЦР","8,45",5915,2-4
10-356,Эпидемиологический паротит. Антитела IgM (Mumps Virus),"4,6",3910,13-15
10-357,Эпидемиологический паротит. Антитела IgG (Mumps Virus),"4,6",3910,13-15
,ВИЧ. Антитела к ВИЧ,,,
07-227,"Определение суммарных антител к ВИЧ-1,2 и антигена p24 в сыворотке крови","4,8",3360,3-5
10-031,ВИЧ. Антитела суммарные и антиген р24 к ВИЧ,"4,8",4080,3-5
10-031( для иностранцев),ВИЧ. Антитела суммарные и антиген р24 к ВИЧ,"4,8",4080,3-5
10-032,ВИЧ. Антитела к ВИЧ (для сертификата),"4,8",4080,3-5
10-041,ВИЧ. Антитела к ВИЧ (для доноров),"4,8",4080,3-5
,SARS-CoV-2 (COVID-19),,,
22-001,COVID-19. Определение РНК SARS-Cov-2 (ПЦР в режиме реального времени),8,5600,1-3
22-001_ ускоренный за 15 часов,COVID-19. Определение РНК SARS-Cov-2 (ПЦР в режиме реального времени),"9,8",6860,1
22-001_ ускоренный_за_10_часов,COVID-19. Определение РНК SARS-Cov-2 (ПЦР в режиме реального времени),"12,7",8890,1
22-007,COVID-19. Антитела IgG к N-белку SARS-Cov-2,"3,55",2485,1-3
22-015,COVID-19. Антитела IgM к N-белку SARS-Cov-2,"3,55",2485,1-3
15-267 пакет,"Диагностика Covid-19 (ПЦР-определение РНК, определение антител IgG и IgM)","13,35",12015,1-3
15-268 пакет,COVID-19. Антитела к SARS-CoV-2 IgG+IgM,"6,4",5760,1-3
22-011,COVID-19. Количественные антитела IgG к S- белку (RBD) SARS-Cov-2 . Оценка иммунитета после Covid-19 или вакцинации (автоматическое определение Abbott),"3,45",2415,1-3
,АЛЛЕРГОДИАГНОСТИКА,,,
09-010,Циркулирующие иммунные комплексы (ЦИК),"6,4",5440,4-6
08-365,Триптаза,"22,4",19040,10-12
09-171,IgE к Лидокаину,"4,3",3010,2-4
09-173,IgE к Мепивакаину,"4,3",3010,2-4
09-174,IgE к Ультракаину,"4,3",3010,2-4
09-176,IgE к Артикаину,"4,3",3010,2-4
09-172,IgE к Амоксициллину,"4,3",3655,2-4
09-270,IgE к Мепивастезину,"4,3",3010,2-4
09-272,IgE к Ораблоку,"4,3",3010,2-4
09-271,Ig E к Септанесту,"4,3",3010,2-4
09-193,IgE к Убистезин форте,"4,3",3010,2-4
09-283,IgE к Убистезину,"4,3",3010,2-4
09-291,Ig E к Новокаину (прокаин),"4,3",3655,4-6
09-292,IgE к Анальгину,"4,3",3655,2-4
09-293,IgE к Аспирину,"4,3",3655,2-4
09-294,IgE к Диклофенаку,"4,3",3655,2-4
09-295,IgE к Ибупрофену,"4,3",3655,4-6
09-296,IgE к Парацетамолу,"4,3",3655,4-6
09-297,IgE к Азитромицину,"4,3",3655,4-6
09-298,IgE к Доксициклину,"4,3",3655,4-6
09-299,IgE к Метронидозолу,"4,3",3655,4-6
09-313,IgE к Офлоксацину,"4,3",3655,4-6
09-314,IgE к Кларитромицину,"4,3",3655,4-6
09-184,IgE к Эпинефрину,"4,3",3655,2-4
09-028,Аллерген. Форель,"4,9",4165,4-6
09-027,Аллерген. Треска,"4,9",4165,4-6
09-031,Аллерген. Скумбрия,"4,9",4165,4-6
09-033,Аллерген. Лосось/семга,"4,9",4165,4-6
09-034,Аллерген. Камбала,"4,9",4165,4-6
09-043,Аллерген. Орех кешью,"4,9",4165,5-6
09-057,Аллерген. Грейпфрут,"4,9",4165,4-6
09-064,Аллерген. Маслины,"4,9",4165,4-6
09-067,Аллерген. Гриб-шампиньон,"4,9",4165,4-6
09-076,Аллерген. Манго,"4,9",4165,4-6
09-088,Аллерген. Фасоль красная,"4,9",4165,4-6
09-089,Аллерген. Фисташки,"4,9",4165,4-6
09-090,Аллерген. Укроп,"4,9",4165,4-6
09-091,Аллерген. Хурма,"4,9",4165,4-6
09-102,Аллерген. Лесной орех (фундук),"4,9",4165,4-6
09-103,Аллерген. Крапива двудомная,"4,9",4165,4-6
09-104,Аллерген. Хмель,"4,9",4165,4-6
09-109,Аллерген. Акация,"4,9",4165,4-6
09-111,Аллерген. Тополь трехгранный,"4,9",4165,4-6
09-114,Аллерген. Сосна,"4,9",4165,4-6
09-115,Аллерген. Клещи домашней пыли,"4,9",4165,4-6
09-120,Аллерген. Утка (перья),"4,9",4165,4-6
09-129,Аллерген. Плесень Mucor racemosus,"4,9",4165,4-6
09-132,Аллерген. Волнистый попугай (перо),"4,9",4165,4-6
09-134,Аллерген. Крыса (эпителий и белки сыворотки/мочи),"4,9",4165,4-6
09-137,Аллерген. Яд медовой пчелы,"4,9",4165,4-6
09-139,Аллерген. Таракан-прусак (Blatella germanica),"4,9",4165,4-6
09-140,Аллерген. Комар обыкновенный,"4,9",4165,4-6
09-141,Аллерген. Таракан американский (Periplaneta аmericana),"4,9",4165,4-6
09-147,Аллерген. Плесень Aspergillus fumigatus,"4,9",4165,4-6
09-149,Аллерген. Плесень Alternaria tenius,"4,9",4165,4-6
09-197,Аллерген. Ромашка аптечная,"4,9",4165,4-6
09-200,Аллерген. Амброзия обыкновенная,"4,9",4165,4-6
09-217,Аллерген. Мука ржаная,"4,9",4165,4-6
09-235,Аллерген. Береза,"4,9",4165,4-6
09-236,Аллерген. Клён ясенелистный,"4,9",4165,4-6
09-239,Аллерген. Хрен,"4,9",4165,4-6
09-240,Аллерген. Мясо утки,"4,9",4165,4-6
09-073,Аллерген. Мята,"4,9",4165,4-6
09-078,Аллерген. Овсяная мука,"4,9",4165,4-6
09-112,Аллерген. Пыльца грецкого ореха,"4,9",4165,4-6
09-138,Аллерген. Яд осы обыкновенной,"4,9",4165,4-6
09-032,Аллерген. Сельдь,"4,9",4165,4-6
09-035,Аллерген. Яичный белок,"4,9",4165,4-6
09-036,Аллерген. Коровье молоко,"4,9",4165,4-6
09-336,Аллерген. Казеин молока.,"4,9",4165,4-6
09-037,Аллерген. Пшеничная мука,"4,9",4165,4-6
09-038,Аллерген. Арахис,"4,9",4165,4-6
09-041,Аллерген. Апельсин,"4,9",4165,4-6
09-042,Аллерген. Миндаль,"4,9",4165,4-6
09-044,Аллерген. Грецкий орех,"4,9",4165,4-6
09-058,Аллерген. Слива,"4,9",4165,4-6
09-061,Аллерген. Киви,"4,9",4165,4-6
09-080,Аллерген. Петрушка,"4,9",4165,4-6
09-085,Аллерген. Сельдерей,"4,9",4165,4-6
09-108,Аллерген. Дуб обыкновенный,"4,9",4165,4-6
09-113,Аллерген. Ясень американский,"4,9",4165,4-6
09-045,Аллерген. Свинина,"4,9",4165,4-6
09-046,Аллерген. Говядина,"4,9",4165,4-6
09-048,Аллерген. Конина,"4,9",4165,4-6
09-049,Аллерген. Козье молоко,"4,9",4165,4-6
09-050,Аллерген. Яичный желток,"4,9",4165,4-6
09-051,Аллерген. Банан,"4,9",4165,4-6
09-052,Аллерген. Абрикос,"4,9",4165,4-6
09-053,Аллерген. Ананас,"4,9",4165,4-6
09-054,Аллерген. Арбуз,"4,9",4165,4-6
09-055,Аллерген. Виноград,"4,9",4165,4-6
09-056,Аллерген. Вишня,"4,9",4165,4-6
09-059,Аллерген. Дыня,"4,9",4165,4-6
09-062,Аллерген. Шоколад,"4,9",4165,4-6
09-063,Аллерген. Лимон,"4,9",4165,4-6
09-065,Аллерген. Баклажан,"4,9",4165,4-6
09-066,Аллерген. Зелёный горох,"4,9",4165,4-6
09-068,Аллерген. Гречка,"4,9",4165,4-6
09-069,Аллерген. Амброзия многолетняя (голометельчатая),"4,9",4165,4-6
09-070,Аллерген. Капуста белокочанная,"4,9",4165,4-6
09-071,Аллерген. Кукурузная мука,"4,9",4165,4-6
